BHID,FROM,TO,AU,CU,DENSITY
VB2832,193.480896,195.93089294,1.04999995,0.89999998,-
VB2832,195.93089294,197.93089294,1.75,1.39999998,-
VB2832,197.93089294,199.93089294,2.02999997,1.60000002,4.46000004
VB2832,199.93089294,201.93089294,1.53999996,1.29999995,4.26999998
VB2832,201.93089294,203.93089294,1.12,1,3.8900001
VB2832,203.93089294,205.93089294,1.04999995,1,3.8900001
VB2832,205.93089294,207.93089294,2.94000006,2.29999995,4.5999999
VB2832,207.93089294,209.93089294,4.96999979,3.79999995,4.69000006
VB2832,209.93089294,211.93089294,0.49000001,0.60000002,3.08999991
VB2832,211.93089294,214.480896,1.08000004,1,3.8900001
VB4266,121.32060242,203.62060547,-,-,2.72000003
VB4266,205.12060547,206.32060242,5.5999999,3.79999995,3.49000001
VB4266,206.32060242,208.32060242,0.56,0.60000002,-
VB4266,208.32060242,210.32060242,0.28,0.5,-
VB4266,210.32060242,212.32060242,1.19000006,1,3.93000007
VB4266,212.32060242,214.32060242,0.34999999,0.5,2.98000002
VB4266,214.32060242,216.32060242,0.63,0.69999999,3.25
VB4266,216.32060242,218.32060242,0.98000002,0.89999998,3.67000008
VB4266,218.32060242,220.32060242,2.66000009,2.0999999,4.55999994
VB4266,220.32060242,222.32060242,0.80000001,0.80000001,3.46000004
VB4266,222.32060242,224.32060242,0.49000001,0.60000002,3.08999991
VB4266,224.32060242,226.32060242,0.47,0.60000002,3.08999991
VB4266,226.32060242,228.32060242,0.82999998,0.89999998,3.68000007
VB4266,228.32060242,230.32060242,1.25,1.20000005,4.19000006
VB4266,230.32060242,232.32060242,1.09000003,1.10000002,4.05999994
VB4266,232.32060242,234.32060242,1.14999998,1.10000002,4.05999994
VB4266,234.32060242,236.32060242,-,1,3.74000001
VB4266,236.32060242,238.82060242,-,-,3.25
VB4266,238.82060242,245.82060242,-,-,3.25999999
VB4267,99.3684082,206.06840515,-,-,2.73000002
VB4267,206.56840515,208.86839294,2.30999994,2,2.86999989
VB4267,208.86839294,210.86839294,1.12,1.10000002,-
VB4267,210.86839294,212.86839294,0.63,0.69999999,-
VB4267,212.86839294,214.86839294,2.79999995,2.5,3.03999996
